,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2022-10-28,EQ,87360.0,89550.0,87299.0,87362.85,89248.0,89368.3,88802.41,93887.0,63000.0,26116,2319163759.9,9900,MRF
1,2022-10-27,EQ,88200.0,88299.0,86650.0,87342.85,87427.55,87362.85,87212.14,93887.0,63000.0,10885,949304176.05,5946,MRF
2,2022-10-25,EQ,86699.0,87700.0,86107.6,86291.55,87422.0,87342.85,87009.39,93887.0,63000.0,14532,1264420399.65,7488,MRF
3,2022-10-24,EQ,87319.0,87932.2,85890.0,86224.8,86500.0,86291.55,86811.29,93887.0,63000.0,3801,329969706.7,2542,MRF
4,2022-10-21,EQ,84210.05,88187.9,84210.05,84171.8,86002.05,86224.8,86727.4,93887.0,63000.0,36192,3138837885.45,18556,MRF
5,2022-10-20,EQ,83100.0,84500.0,83100.0,83149.45,84250.0,84171.8,83929.95,93887.0,63000.0,12767,1071533631.8,6901,MRF
6,2022-10-19,EQ,83105.0,84500.0,82500.0,83088.15,83165.0,83149.45,83524.66,93887.0,63000.0,9220,770097365.65,5543,MRF
7,2022-10-18,EQ,82670.0,83300.0,82426.75,82267.95,83024.2,83088.15,82956.75,93887.0,63000.0,5618,466050995.15,3532,MRF
8,2022-10-17,EQ,81390.0,82641.05,80789.05,81350.15,82324.05,82267.95,81970.86,93887.0,63000.0,8749,717163030.0,5300,MRF
9,2022-10-14,EQ,82990.0,83200.0,81010.3,82112.35,81530.7,81350.15,82126.19,93887.0,63000.0,7118,584574210.4,4339,MRF
10,2022-10-13,EQ,82369.85,82700.0,81700.0,82481.7,81880.0,82112.35,82191.04,93887.0,63000.0,8430,692870464.6,4736,MRF
11,2022-10-12,EQ,81486.5,82636.05,81200.15,81081.05,82371.65,82481.7,81959.0,93887.0,63000.0,8355,684767432.1,5283,MRF
12,2022-10-11,EQ,82713.65,83082.95,80735.25,82302.1,81099.0,81081.05,81935.54,93887.0,63000.0,10869,890557360.95,6017,MRF
13,2022-10-10,EQ,81825.0,82700.0,81222.0,82769.65,82582.0,82302.1,81977.45,93887.0,63000.0,8792,720745755.1,5106,MRF
14,2022-10-07,EQ,82499.0,82989.95,81803.05,82440.15,82776.6,82769.65,82436.13,93887.0,63000.0,8103,667979973.6,4774,MRF
15,2022-10-06,EQ,83238.0,83856.1,82253.0,82825.45,82510.0,82440.15,82983.83,93887.0,63000.0,10841,899627716.35,6670,MRF
16,2022-10-04,EQ,81897.0,83000.0,81277.65,80624.25,82750.0,82825.45,82283.21,93887.0,63000.0,10705,880841788.7,6615,MRF
17,2022-10-03,EQ,82100.0,82100.0,80100.0,81654.55,80675.8,80624.25,80882.51,93887.0,63000.0,9872,798472151.45,6355,MRF
18,2022-09-30,EQ,80080.0,82131.1,79022.65,79622.0,81805.0,81654.55,80649.16,93887.0,63000.0,15688,1265223983.85,9495,MRF
19,2022-09-29,EQ,81103.0,81938.8,78800.0,80416.7,79740.0,79622.0,79920.76,93887.0,63000.0,16538,1321729549.8,9467,MRF
20,2022-09-28,EQ,79825.0,81102.7,79311.45,79831.05,80120.0,80416.7,80438.42,93887.0,63000.0,15206,1223146543.9,8882,MRF
21,2022-09-27,EQ,79700.95,81446.3,79450.0,79156.3,80150.0,79831.05,80277.98,93887.0,63000.0,18319,1470612284.4,10451,MRF
22,2022-09-26,EQ,82399.5,82399.5,78689.95,82599.15,79150.0,79156.3,80325.37,93887.0,63000.0,17075,1371555609.9,9920,MRF
23,2022-09-23,EQ,84900.0,85100.0,82169.9,84511.5,82460.0,82599.15,83243.02,93887.0,63000.0,16345,1360607204.85,9066,MRF
24,2022-09-22,EQ,84600.0,85200.0,83400.0,84281.65,84525.0,84511.5,84347.89,93887.0,63000.0,14055,1185509616.4,8508,MRF
25,2022-09-21,EQ,85899.0,86499.0,84003.95,85661.0,84290.0,84281.65,85166.23,93887.0,63000.0,17007,1448422143.55,9903,MRF
26,2022-09-20,EQ,86994.0,87388.0,85055.55,86352.8,85500.0,85661.0,86363.08,93887.0,63000.0,17796,1536917409.25,10890,MRF
27,2022-09-19,EQ,87299.95,87600.0,84600.0,86112.85,86115.0,86352.8,86403.49,93887.0,63000.0,35699,3084518036.9,21494,MRF
28,2022-09-16,EQ,92490.0,93200.0,85716.0,92868.45,86000.0,86112.85,88597.5,93887.0,63000.0,52693,4668468319.4,29127,MRF
29,2022-09-15,EQ,86488.0,93887.0,85685.15,86071.7,92498.75,92868.45,90727.05,93887.0,63000.0,66242,6009941505.8,31452,MRF
30,2022-09-14,EQ,83750.0,86444.05,83750.0,85551.25,85816.55,86071.7,85504.28,89499.9,63000.0,9618,822380196.9,5236,MRF
31,2022-09-13,EQ,86000.1,86350.0,85315.05,85808.3,85624.25,85551.25,85729.9,89499.9,63000.0,5533,474343524.85,2995,MRF
32,2022-09-12,EQ,84550.0,85900.0,84250.0,84208.05,85700.0,85808.3,85374.27,89499.9,63000.0,8568,731486714.3,4398,MRF
33,2022-09-09,EQ,85838.35,85990.0,84013.0,85396.4,84250.0,84208.05,84759.86,89499.9,63000.0,6406,542971652.3,3656,MRF
34,2022-09-08,EQ,85599.0,86449.9,85220.0,85133.3,85437.0,85396.4,85815.11,89499.9,63000.0,7893,677338645.15,4565,MRF
35,2022-09-07,EQ,84900.0,85910.95,84900.0,85257.7,85150.0,85133.3,85300.48,89499.9,63000.0,5967,508987934.6,3372,MRF
36,2022-09-06,EQ,84779.45,85889.95,84412.05,84254.05,84873.95,85257.7,85043.95,89499.9,63000.0,11784,1002157847.9,6266,MRF
37,2022-09-05,EQ,84889.0,85100.0,84101.3,84356.9,84165.05,84254.05,84485.89,89499.9,63000.0,4058,342843730.35,2609,MRF
38,2022-09-02,EQ,85795.0,85979.25,84202.0,85142.75,84210.0,84356.9,84809.89,89499.9,63000.0,7733,655834860.9,4073,MRF
39,2022-09-01,EQ,85444.0,85982.9,84500.0,85364.95,85087.05,85142.75,85195.92,89499.9,63000.0,6632,565019335.35,4365,MRF
40,2022-08-30,EQ,84895.0,86263.8,84740.0,84418.65,85116.2,85364.95,85471.52,89499.9,63000.0,14199,1213610154.15,6768,MRF
41,2022-08-29,EQ,84629.95,84894.75,83479.0,85272.25,84720.0,84418.65,84359.8,89499.9,63000.0,5901,497807170.3,3670,MRF
42,2022-08-26,EQ,86400.0,86445.0,85000.0,85445.0,85500.0,85272.25,85518.72,89499.9,63000.0,6083,520210387.6,4080,MRF
43,2022-08-25,EQ,85599.0,86500.0,85178.8,85264.5,85215.0,85445.0,85991.27,89499.9,63000.0,12922,1111179163.0,7411,MRF
44,2022-08-24,EQ,85799.95,86699.75,84800.05,85895.45,84942.75,85264.5,85393.85,89499.9,63000.0,8432,720040971.25,5318,MRF
45,2022-08-23,EQ,83930.0,86779.95,83800.0,84828.25,85799.95,85895.45,85998.76,89499.9,63000.0,13741,1181708988.7,7836,MRF
46,2022-08-22,EQ,86808.95,86876.95,84510.0,86825.9,85121.5,84828.25,85620.23,89499.9,63000.0,11433,978896138.95,7169,MRF
47,2022-08-19,EQ,87989.0,88361.85,86436.95,87591.55,86485.0,86825.9,87379.99,89499.9,63000.0,11885,1038511232.8,7680,MRF
48,2022-08-18,EQ,86844.95,87988.05,85806.3,86853.6,87850.0,87591.55,87422.8,89499.9,63000.0,14967,1308457096.25,7683,MRF
49,2022-08-17,EQ,87000.0,87925.3,86381.0,86971.45,86620.0,86853.6,87077.05,89499.9,63000.0,18111,1577052528.85,10266,MRF
50,2022-08-16,EQ,83500.0,87593.3,83400.1,83130.85,86422.5,86971.45,86229.7,89499.9,63000.0,28904,2492383185.5,16714,MRF
51,2022-08-12,EQ,82995.0,84338.2,82271.55,82500.7,83112.3,83130.85,83330.6,89499.9,63000.0,10606,883804355.05,7427,MRF
52,2022-08-11,EQ,83999.0,84598.0,82101.0,83466.6,82407.15,82500.7,83372.14,89499.9,63000.0,12363,1030729754.05,7916,MRF
53,2022-08-10,EQ,86805.0,87234.9,82610.0,87717.5,83780.0,83466.6,84241.85,89499.9,63000.0,26092,2198038282.35,14566,MRF
54,2022-08-08,EQ,88500.05,88900.0,87500.0,88895.45,87500.0,87717.5,88112.83,89499.9,63000.0,8338,734684780.4,5088,MRF
55,2022-08-05,EQ,89000.0,89150.0,87855.95,88711.8,88629.95,88895.45,88678.75,89499.9,63000.0,9228,818327516.5,6048,MRF
56,2022-08-04,EQ,88988.95,89499.9,87736.65,88738.95,88730.0,88711.8,88531.65,89499.9,63000.0,11181,989872395.45,6268,MRF
57,2022-08-03,EQ,88174.0,88950.0,87216.75,88173.15,88550.0,88738.95,88212.89,88950.0,63000.0,15400,1358478546.4,9071,MRF
58,2022-08-02,EQ,86930.0,88950.0,86300.0,86950.35,87650.0,88173.15,87774.0,88950.0,63000.0,18522,1625750091.0,11352,MRF
59,2022-08-01,EQ,84000.0,87400.0,83998.35,83818.15,86302.0,86950.35,85726.77,87550.0,63000.0,16248,1392888607.3,9731,MRF
60,2022-07-29,EQ,83479.0,83970.0,82552.3,83046.5,83560.0,83818.15,83437.37,87550.0,63000.0,12547,1046888695.35,7962,MRF
61,2022-07-28,EQ,81010.0,83300.0,81010.0,80864.95,83129.7,83046.5,82415.7,87550.0,63000.0,14509,1195769458.5,7906,MRF
62,2022-07-27,EQ,80150.0,80971.0,79650.0,80150.2,80800.0,80864.95,80360.27,87550.0,63000.0,5546,445678035.35,3458,MRF
63,2022-07-26,EQ,80829.0,80965.75,79830.8,80834.05,80080.1,80150.2,80338.59,87550.0,63000.0,5871,471667871.5,3852,MRF
64,2022-07-25,EQ,79600.0,81198.95,79531.8,79400.6,80658.95,80834.05,80581.5,87550.0,63000.0,11727,944979240.4,6959,MRF
65,2022-07-22,EQ,80290.0,80738.0,79136.3,80178.4,79305.0,79400.6,79813.26,87550.0,63000.0,6537,521739311.85,4467,MRF
66,2022-07-21,EQ,79630.0,80418.4,79555.0,79784.6,80200.0,80178.4,80000.76,87550.0,63000.0,6751,540085135.15,4813,MRF
67,2022-07-20,EQ,80075.0,80618.85,79400.0,79941.8,79560.0,79784.6,80235.63,87550.0,63000.0,7028,563895995.0,4343,MRF
68,2022-07-19,EQ,80500.0,80820.9,79191.55,80742.5,79792.2,79941.8,80006.46,87550.0,63000.0,8431,674534479.8,5412,MRF
69,2022-07-18,EQ,79602.0,80998.95,79600.0,79558.1,80581.7,80742.5,80519.47,87550.0,63000.0,15460,1244830932.7,10001,MRF
70,2022-07-15,EQ,77724.0,79729.65,77629.55,77414.9,79512.0,79558.1,78736.71,87550.0,63000.0,14260,1122785443.5,7334,MRF
71,2022-07-14,EQ,77399.8,77863.45,76532.3,77273.75,77498.0,77414.9,77341.47,87550.0,63000.0,6630,512773954.55,4278,MRF
